Unnamed: 0,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name,name,id
146,Enock,Mwepu,2,5,58,990,13,142.9,241.8,199.0,5,200,58.0,3,0,2,0.1,59,3,MID,60,BHA,Enock Mwepu_462,462
147,Kjell,Scherpen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,1,GK,45,BHA,Kjell Scherpen_476,476
148,Florin,Andone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,4,FWD,50,BHA,Florin Andone_500,500
149,Andi,Zeqiri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,4,FWD,45,BHA,Andi Zeqiri_535,535
150,Michal,Karbownik,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,2,DEF,40,BHA,Michal Karbownik_536,536
151,Taylor,Richards,0,0,2,23,0,12.8,4.6,8.0,0,5,2.5,0,0,0,0.0,45,3,MID,45,BHA,Taylor Richards_537,537
152,Moisés,Caicedo,1,1,27,660,6,49.9,136.8,92.0,1,124,27.9,4,0,2,0.1,45,3,MID,45,BHA,Moisés Caicedo_538,538
153,Haydon,Roberts,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,2,DEF,40,BHA,Haydon Roberts_560,560
154,Marc,Cucurella,1,1,126,3089,39,671.9,659.6,181.0,21,673,151.6,11,0,6,4.1,49,2,DEF,50,BHA,Marc Cucurella_584,584
155,Jürgen,Locadia,0,0,1,22,0,1.1,0.0,3.0,0,0,0.1,0,0,0,0.9,44,4,FWD,45,BHA,Jürgen Locadia_595,595
156,Jeremy,Sarmiento,0,0,5,44,2,2.4,2.8,2.0,0,15,0.8,0,0,0,0.0,45,3,MID,45,BHA,Jeremy Sarmiento_612,612
157,Ed,Turns,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,2,DEF,40,BHA,Ed Turns_653,653
158,Marc,Leonard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,BHA,Marc Leonard_654,654
159,Evan,Ferguson,0,0,1,22,1,4.8,2.0,2.0,0,4,0.9,0,0,0,0.4,45,4,FWD,45,BHA,Evan Ferguson_655,655
160,Thomas,McGill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,1,GK,40,BHA,Thomas McGill_688,688
161,Odeluga,Offiah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,2,DEF,40,BHA,Odeluga Offiah_712,712
162,James,Tarkowski,1,2,83,3106,51,106.8,881.4,307.0,5,486,129.7,7,0,11,1.3,49,2,DEF,50,BUR,James Tarkowski_98,98
163,Phil,Bardsley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,39,2,DEF,40,BUR,Phil Bardsley_99,99
164,Erik,Pieters,0,1,37,726,5,43.4,179.0,48.0,1,157,27.0,4,0,1,0.1,41,2,DEF,45,BUR,Erik Pieters_100,100
165,Jack,Cork,1,0,48,1670,26,103.9,168.0,72.0,3,143,34.3,6,0,4,0.1,44,3,MID,45,BUR,Jack Cork_101,101
166,Dale,Stephens,0,0,4,123,0,12.4,12.8,1.0,0,11,2.6,1,0,1,0.0,44,3,MID,45,BUR,Dale Stephens_102,102
167,Kevin,Long,0,0,7,408,7,0.2,28.4,20.0,0,31,4.9,0,0,1,0.2,40,2,DEF,40,BUR,Kevin Long_103,103
